4.81E0	1.80E-1
5.40E0	1.76E-1
5.95E0	1.75E-1
6.49E0	1.73E-1
7.04E0	1.73E-1
7.63E0	1.74E-1
8.22E0	1.76E-1
8.72E0	1.80E-1
9.32E0	1.82E-1
9.95E0	1.86E-1
1.05E1	1.89E-1
1.10E1	1.94E-1
1.16E1	1.97E-1
1.22E1	2.01E-1
1.27E1	2.05E-1
1.33E1	2.09E-1
1.39E1	2.12E-1
1.44E1	2.15E-1
1.50E1	2.20E-1
1.56E1	2.23E-1
1.61E1	2.26E-1
1.67E1	2.31E-1
1.72E1	2.34E-1
1.78E1	2.38E-1
1.84E1	2.42E-1
1.90E1	2.45E-1
1.95E1	2.49E-1
2.01E1	2.53E-1
2.07E1	2.54E-1
2.12E1	2.58E-1
2.18E1	2.61E-1
2.23E1	2.64E-1
2.30E1	2.67E-1
2.35E1	2.69E-1
2.35E1	3.35E-1
2.40E1	3.37E-1
2.46E1	3.40E-1
2.52E1	2.77E-1
2.58E1	2.80E-1
2.63E1	2.83E-1
2.68E1	2.85E-1
2.74E1	2.88E-1
2.79E1	2.90E-1
2.86E1	2.94E-1
2.92E1	2.95E-1
2.97E1	2.97E-1
3.02E1	3.00E-1
3.09E1	3.03E-1
3.14E1	3.03E-1
3.20E1	3.06E-1
3.26E1	3.07E-1
3.31E1	3.10E-1
3.37E1	3.10E-1
3.43E1	3.15E-1
3.48E1	3.14E-1
3.54E1	3.17E-1
3.59E1	3.19E-1
3.66E1	3.20E-1
3.71E1	3.21E-1
3.75E1	3.22E-1
3.82E1	3.22E-1
3.89E1	3.27E-1
3.94E1	3.29E-1
3.94E1	4.04E-1
3.99E1	4.05E-1
4.05E1	4.05E-1
4.10E1	4.07E-1
4.15E1	4.11E-1
4.21E1	4.12E-1
4.26E1	4.16E-1
4.32E1	4.18E-1
4.38E1	4.19E-1
4.44E1	4.17E-1
4.50E1	4.23E-1
4.55E1	4.24E-1
4.61E1	4.24E-1
4.67E1	4.26E-1
4.71E1	4.26E-1
4.77E1	3.48E-1
4.85E1	3.52E-1
4.90E1	3.54E-1
4.95E1	3.54E-1
5.01E1	3.56E-1
5.02E1	4.34E-1
4.95E1	4.35E-1
4.89E1	4.32E-1
4.84E1	4.30E-1
4.78E1	4.28E-1
4.77E1	3.48E-1
4.71E1	3.50E-1
4.66E1	3.48E-1
4.61E1	3.47E-1
4.55E1	3.46E-1
4.49E1	3.42E-1
4.44E1	3.42E-1
4.38E1	3.41E-1
4.33E1	3.39E-1
4.26E1	3.38E-1
4.21E1	3.38E-1
4.16E1	3.36E-1
4.10E1	3.35E-1
4.05E1	3.31E-1
3.98E1	3.30E-1
3.94E1	3.29E-1
3.88E1	4.01E-1
3.82E1	3.99E-1
3.75E1	3.96E-1
3.71E1	3.96E-1
3.65E1	3.95E-1
3.60E1	3.92E-1
3.54E1	3.90E-1
3.48E1	3.88E-1
3.41E1	3.86E-1
3.36E1	3.84E-1
3.31E1	3.80E-1
3.25E1	3.76E-1
3.21E1	3.77E-1
3.14E1	3.73E-1
3.09E1	3.71E-1
3.02E1	3.67E-1
2.98E1	3.66E-1
2.91E1	3.63E-1
2.86E1	3.63E-1
2.80E1	3.59E-1
2.75E1	3.56E-1
2.68E1	3.51E-1
2.63E1	3.50E-1
2.58E1	3.48E-1
2.52E1	3.45E-1
2.46E1	3.40E-1
2.46E1	2.74E-1
2.39E1	2.71E-1
2.35E1	2.69E-1
2.30E1	3.32E-1
2.24E1	3.28E-1
2.18E1	3.26E-1
2.12E1	3.22E-1
2.07E1	3.19E-1
2.01E1	3.15E-1
1.95E1	3.10E-1
1.90E1	3.09E-1
1.84E1	3.02E-1
1.78E1	2.99E-1
1.72E1	2.95E-1
1.67E1	2.91E-1
1.61E1	2.87E-1
1.56E1	2.84E-1
1.50E1	2.80E-1
1.44E1	2.74E-1
1.39E1	2.70E-1
1.33E1	2.67E-1
1.27E1	2.62E-1
1.22E1	2.58E-1
1.16E1	2.54E-1
1.11E1	2.48E-1
1.05E1	2.44E-1
9.95E0	2.43E-1
9.36E0	2.38E-1
8.77E0	2.33E-1
8.22E0	2.30E-1
7.63E0	2.29E-1
7.04E0	2.27E-1
6.49E0	2.26E-1
5.95E0	2.27E-1
5.40E0	2.29E-1
4.81E0	2.31E-1
4.81E0	1.80E-1
