    0.500E+00  0.375E+00  
    0.252E+01  0.380E+00  
    0.454E+01  0.148E+00  
    0.656E+01  0.807E-01  
    0.858E+01  0.887E-01  
    0.106E+02  0.108E+00  
    0.126E+02  0.136E+00  
    0.146E+02  0.161E+00  
    0.167E+02  0.183E+00  
    0.187E+02  0.205E+00  
    0.207E+02  0.219E+00  
    0.227E+02  0.241E+00  
    0.247E+02  0.254E+00  
    0.268E+02  0.262E+00  
    0.288E+02  0.277E+00  
    0.308E+02  0.290E+00  
    0.328E+02  0.309E+00  
    0.348E+02  0.320E+00  
    0.369E+02  0.326E+00  
    0.389E+02  0.338E+00  
    0.409E+02  0.348E+00  
    0.429E+02  0.356E+00  
    0.449E+02  0.366E+00  
    0.470E+02  0.382E+00  
    0.490E+02  0.382E+00  
    0.510E+02  0.397E+00  
    0.530E+02  0.406E+00  
    0.551E+02  0.414E+00  
    0.571E+02  0.422E+00  
    0.591E+02  0.439E+00  
    0.611E+02  0.441E+00  
    0.631E+02  0.447E+00  
    0.652E+02  0.448E+00  
    0.672E+02  0.460E+00  
    0.692E+02  0.460E+00  
    0.712E+02  0.472E+00  
    0.732E+02  0.471E+00  
    0.753E+02  0.489E+00  
    0.773E+02  0.494E+00  
    0.793E+02  0.502E+00  
    0.813E+02  0.502E+00  
    0.833E+02  0.503E+00  
    0.854E+02  0.508E+00  
    0.874E+02  0.514E+00  
    0.894E+02  0.516E+00  
    0.914E+02  0.529E+00  
    0.934E+02  0.527E+00  
    0.955E+02  0.534E+00  
    0.975E+02  0.546E+00  
    0.995E+02  0.539E+00  
