3.5 1.4
4.5 2.3
5.5 3.9
7 1.1
9 3.9
12.5 3.7
17.5 2.2
22.5 0.2
27.5 1.9
32.5 0.6
37.5 7.7
42.5 4.5
47.5 4.0
52.5 1.3
57.5 6.9
65 3.2
75 3.9
90 10.8
